Nro,Job Title,Description,Majors/Concentrations,Qualifications
1272,Ingeniero de Homologaciones,"Realizar testeo de productos nuevos que serán lanzados en el mercado peruano para asegurar la calidad y el performance de los productos del ´rea de moviles.
Proveer soporte técnico durante la ejecución del proceso de aprobación del producto.
Reportar a la oficina regional los incidentes ocurridos durante las pruebas.
Hacer seguimiento al status de incidentes.
Dar soporte a áreas internas .
Apoyar en elaborar la documentación necesaria para la certificación del producto.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","Mínimo 2 años en testeo de software en empresas de tecnología.
Conocimiento en Android, conocimiento en fundamentos en comunicaciones móviles y desarrollo de software y habilidades de testeo."
1273,Gerente de Proyectos  - Empresa de Distribución Eléctrica - Cusco,"Responsable de desarrollar y planificar la cartera de proyectos de inversión a través del seguimiento en los sistemas de control existentes, con proyectos de inversión pública PIP, gastos de capital y proyectos operativos. Son de su competencia: realizar el planeamiento eléctrico para salvaguardar que el crecimiento de la empresa tenga una infraestructura eléctrica apropiada para atender el crecimiento de la demanda o la renovación de las existentes; participar en la elaboración de los planes de desarrollo, plan operativo anual y plan multianual, en términos de proyectos de inversión; preparar el informe de gestión a la alta dirección sobre avances de los proyectos y el presupuesto ejecutado; analizar los reportes de estado de integración, alcance, tiempo, costo, calidad, comunicaciones y riesgos de los proyectos, contrastando lo planificado inicialmente con lo real; entre otros encargos delegados por los niveles superiores y les corresponda según lo dispuesto en la Ley General de Sociedades y el Estatuto vigente de la empresa.","ADMINISTRACIÓN, ADMINISTRACIÓN DE NEGOCIOS, ADMINISTRACIÓN DE NEGOCIOS GLOBALES, ADMINISTRACIÓN DE NEGOCIOS GLOBALES Y ENERGÍA, ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS, GOBIERNO Y POLÍTICAS PÚBLICAS, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INDUSTRIAL, INGENIERÍA INDUSTRIAL CON MENCIÓN EN GESTIÓN DE OPERACIONES, INGENIERÍA MECATRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA, INGENIERÍA MECÁNICA","Lugar de Trabajo: Cusco, lugar de residencia familiar preferente.

Conocimientos Específicos: Deseable dominio a nivel usuario de Project y/o herramientas de gestión de gestión de proyectos.  

Tiempo  y tipo de experiencia en puesto similar: 10 años de experiencia en cargos Jefaturales, gerenciales o con reporte directo a Gerencia General, liderando proyectos de desarrollo de infraestructura eléctrica de envergadura, 5 años  como Gerente y/o Jefe de Proyectos de envergadura, obras civiles Electromecánicas o civiles en empresas privadas o públicas. MS Office intermedio.

Idioma Inglés: Intermedio"
1274,Operador de planta termoeléctrica,"OBJETIVO DEL PUESTO:
Dirigir, organizar y supervisar los trabajos de operación, dentro de los parámetros de diseño y seguridad, de las unidades moto generadoras y los sistemas auxiliares pertenecientes a la central Termoeléctrica. También se encarga de coordinar el despacho de las unidades de generación. 
FUNCIONES:
1. Operar, con poca o mínima orientación, de manera competente los moto-generadores de la Central Termoeléctrica y todos los equipos auxiliares asociados. 2. Identificar, revisar y cumplir con los requerimientos de los entes reguladores del sector energía. 3. Controlar en forma remota o local, el arranque, sincronización, despacho y parada segura de las unidades de generación.
4. Responder a las alarmas y llamadas de acción, realizando las acciones necesarias para corregir las condiciones de mal funcionamiento operáticas de la Central Termoeléctrica. 
5.Elaborar la proyección del despacho de energía, realizar cálculos de consumo de combustible, e identificar el consumo mensual de energía de la planta.
6. Conocer y prevenir los riesgos para la seguridad, salud y el medioambiente de las actividades e instalaciones a su cargo o en las que se desarrolla, para lo cual deberá participar activamente de las acciones de prevención de riesgos y seguir los acuerdos en cuanto a prevención de riesgos
7. Proponer mejoras para la operación y mantenimiento de las máquinas.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Estudios de las carreras de Ingeniería o Técnicas en Electricidad, Mecánica, Química, Industrial, Sistemas y Electrónica.  
Experiencia mínima de 4 años en Operaciones de Centrales de Generación Termoeléctricas, y mínimo 2 años de experiencia con Motores Diésel.   
Indispensable experiencia en despacho y distribución en tiempo real
Especialización o Cursos de Operaciones y Mantenimiento en Centrales Eléctricas. 
Conocimientos en Automatización y Control y conocimientos en plantas de tratamiento de agua.
Conocimientos en Sistemas de medición, control de fugas y tratamiento de combustible.
Dominio del Inglés a nivel Intermedio.
Manejo a nivel usuario de MS Office y MS Project."
1275,Jefe de Mantenimiento de Flota,"Funciones:
1. Responsable de asegurar el cumplimiento de procesos y procedimientos en el mantenimiento de la flota vehicular (más de 100 unidades). 2. Elaborar procedimientos para la asignación de recursos financieros y suministros de operación. 3. Responsable de la optimización de procesos de seguimiento y control de la Flota. 3. Implementación de Acuerdos de Servicio con los principales proveedores directos e indirectos. 4. Optimizar recursos del área de flota.
 ","ADMINISTRACIÓN, CONTABILIDAD, ECONOMÍA, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",- Experiencia de mínimo 03 años como responsable de la gestión del mantenimiento de la flota.
1276,Practicante de NOC,"Apoyar en la gestión y supervisión de la red fija y móvil de la organización.
Atender alertas y ejecutar órdenes de trabajo.
Mantener y mejorar el desempeño de la red.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","Conocimientos en redes móviles (indispensable).
Inglés a nivel intermedio (indispensable).
Estudios en CCNA (deseable).
Conocimientos en networking, redes de datos, redes de transporte y transmisión (deseable)."
1277,INGENIERO COMERCIAL B2B PARA SOLUCIONES INDUSTRIALES EN INFRAESTRUCTURA – TECHOS y PAREDES INDUSTRIALES,"CATEGORIA DEL CARGO: 30% ESTRATEGICO (Planeamiento, Forecast, Presupuestos) 70% OPERATIVO (Clientes)
REPORTA: A la Gerencia General.
PERSONAL A CARGO: 1 Soporte Comercial compartido.
AREAS DE PROCEDENCIA: Comercial.
CARGOS DE PROCEDENCIA: INGENIERO DE PROYECTOS DE CONSTRUCCION, ING CIVIL, REPRESENTANTES DE VENTA –CONSTRUCCION, Similares
TIEMPO MÍNIMO DE EXPERIENCIA: 5 años como mínimo en posiciones similares en las empresas esperadas.
OTROS DOMINIOS Y EXPERIENCIAS DIRECTAS DEMOSTRABLES:
Requisito: Cuente con vehículo propio.
Inglés (Comunicaciones Internacionales, Asia, USA, Europa)
Disponibilidad para viajes a provincias 50% de su tiempo
Office a nivel usuario – avanzado
Indicadores de gestión (dominio)
Desarrollar Planes comerciales, forecast.
Muy deseable con cartera de clientes (Gobiernos Regionales, Desarrolladores Inmobiliarios, Centros Comerciales, Proyectos de construcción minería, agro, pesca, industriales, etc.
Muy deseable con dominio técnico comercial en techos industriales
 
PRINCIPALES FUNCIONES Y RESPONSABILIDADES
 
·         Cumplir con los objetivos de ventas y márgenes brutos según lo presupuestado. Así como lograr alcanzar las metas de costos comerciales y costos operativos de su unidad.
·         Cumplir con los objetivos de cuentas por cobrar y de rotación de inventarios para velar por el buen manejo de capital de trabajo de la empresa.
·         Planificar y administrar la gestión comercial a través de venta de productos o servicios  (instalación), asesoramiento técnico, apoyo logístico, dirigidos a la atención de distribuidores, clientes finales y la captación de  clientes nuevos.
·         Identificar clientes potenciales para ofrecer productos actuales o proyectos según necesidades.  Tales como: Gobiernos regionales, Almacenes, Galpones, hangares, Desarrolladores inmobiliarios y de malls, Mercados, Coliseos, Centros Educativos, Centros de Salud, Empresas Pesqueras, Zonas de Producción minera.
·         Visitar dichos clientes ofreciendo las bondades y beneficios diferenciales de nuestros productos con el propósito que puedan especificar nuestros productos en sus proyectos y obras.
·         'Desarrollar e introducir cartera de productos nuevos, desde la definición, introducción al mercado, así como definir la estrategia de venta.
·         Estudiar y desarrollar el levantamiento de información que permita identificar nuevos productos y sub- canales  para la venta de nuestros productos
·         Administrar y controlar el equipo de personal externo que ofrece cobertura a nivel zonal dentro del país en la entrega de servicios como la reposición y sugeridos de compras requeridos en las dependencias del cliente
·         Supervisar y controlar los niveles de inventario de la línea de negocios, necesarios para efectuar una evaluación de venta que permita satisfacer el nivel aprovisionamiento requerido por los clientes, solicitudes de sugeridos a través de cross docking.
·         Desarrollar e implementar acciones promocionales o de marketing que apoyen la confección de planes de negocios dirigidas a los clientes. (publicidad o merchandising, branding, presencia en revistas y eventos, asistencia a ferias y seminarios con proveedor).
·         Operacionales.
·         Análisis semanal  de estadística de Sell In y Sell Out en unidades, pesos y kg por tienda y por zona.
·         Análisis semanal  de estadísticas de Inventarios, ventas en pesos, venta en unidades.
·         Análisis de informes de disponibles y agotados con 90 días de anticipación.
·         Inteligencia de Mercado: Análisis mensual de importaciones para todas las familias de producto  en las que la empresa participa.
·         Supervisión de Proyectos de los clientes de los distribuidores.
·         Apoyo en Gestión de Cuentas por Cobrar: Análisis semanal de facturas vencidas y emisión de notas de crédito.
·         Análisis de rentabilidad de  Cliente.
·         Administración de presupuesto de publicidad, cotizaciones y desarrollos.
·         Administración de la cuenta activos fijos de los distribuidores (compra de muebles).
·         Análisis y gestión de la cuenta fletes: Costo de fletes sobre ventas (Semanal).
·         Ingreso de Pedidos.","ADMINISTRACIÓN, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA CIVIL, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",
1278,Practicante de Mantenimiento,Apoyo en la gestión del área de mantenimiento.,"INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Experiencia de 3 meses en área Recursos Humanos, o áreas vinculadas con el proceso de Capacitación de la compañía.
Experiencia general en prácticas pre profesionales 3 meses."
1279,Profesor Tiempo Completo Ingeniería Mecánica,"Gestión de los cursos de: 

Laboratorio de Manufactura.
Dibujo y diseño en Ingeniería.
Cursos relacionados a Metalurgia y/o procesamiento de metales.","ADMINISTRACIÓN, ADMINISTRACIÓN DE NEGOCIOS, ADMINISTRACIÓN DE NEGOCIOS GLOBALES, ADMINISTRACIÓN DE NEGOCIOS GLOBALES Y ENERGÍA, ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS, DESARROLLO AMBIENTAL, ESTADÍSTICA, ESTUDIOS CULTURALES, FÍSICA, FÍSICA APLICADA, GEOGRAFÍA Y MEDIO AMBIENTE, GERENCIA SOCIAL, GERENCIA SOCIAL CON MENCIÓN EN GERENCIA DE LA PARTICIPACIÓN COMUNITARIA, GERENCIA SOCIAL CON MENCIÓN EN GERENCIA DE PROGRAMAS Y PROYECTOS DE DESARROLLO, GESTIÓN Y DIRECCIÓN DE EMPRESAS CONSTRUCTORAS E INMOBILIARIAS, GESTIÓN Y POLÍTICA DE LA INNOVACIÓN Y LA TECNOLOGÍA, GOBIERNO Y POLÍTICAS PÚBLICAS, INGENIERÍA DE CONTROL Y AUTOMATIZACIÓN, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA DE SOLDADURA, INGENIERÍA INDUSTRIAL, INGENIERÍA INDUSTRIAL CON MENCIÓN EN FINANZAS, INGENIERÍA INDUSTRIAL CON MENCIÓN EN GESTIÓN DE OPERACIONES, INGENIERÍA MECATRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA, INGENIERÍA MECÁNICA, INGENIERÍA Y CIENCIA DE LOS MATERIALES, QUÍMICA","REQUISITOS:

    Título de Magister.
    Ingeniero Mecánico con previa formación como técnico.
    Mínimo 05 años de experiencia en procesos de Manufactura (Mecanizado, Soldadura, Forja, etc).
    Dibujo y diseño (elaboración de planos). 
    Conocimiento de técnicas CAD,CAM. 
    Conocimientos de Metalurgia, procesos con metales."
1280,COORDINADOR(A) EN INFRAESTRUCTURA DE REDES Y COMUNICACIONES,"CARACTERISTICAS DEL PUESTO: 
a)      Coordinar y gestionar los proyectos de red de voz y datos a fin de garantizar la correcta operatividad de los servicios de tecnologías de información.
b)      Coordinar y supervisar las actividades del equipo de redes y comunicaciones a fin de garantizar la adecuada atención de los usuarios.  
c)      Supervisar la atención de requerimientos e incidencias de redes y comunicaciones en coordinación con los analistas y especialistas de redes y comunicaciones.       
d)      Definir las necesidades del equipamiento y servicios de red a fin de atender adecuadamente a las distintas dependencias del MININTER.       
e)      Gestionar el inventario del equipamiento de red.   
f)       Gestionar la operatividad de la red de voz y datos.          
g)      Elaborar informes técnicos en el ámbito de su competencia.
h)      Otras funciones relacionadas al ámbito de su competencia le sean asignadas por su superior jerárquico.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Experiencia:  
Experiencia laboral general mínima de cinco (05) años.
Experiencia laboral especifica mínima de tres (03) años en funciones similares, de los cuales al menos dos (02) años sean en el sector público.

Cursos y/o estudios de especialización: 
Curso(s) cuyo total acumulado de horas sea como mínimo de 120 en:
Gestión de Proyectos.
Centro de Datos.
Redes de Computadoras o Networking.

Conocimientos para el puesto:
Administración y Configuración de Servidores.
Gestión de Infraestructura de Centro de Datos."
1281,ESPECIALISTA EN SOLUCIONES DE TELECOMUNICACIONES,"CARACTERISTICAS DEL PUESTO: 
a.   Gestionar los proyectos de telecomunicaciones a fin de garantizar la correcta operatividad de los servicios de tecnologías de información.
b.   Coordinar y supervisar las actividades del equipo de telecomunicaciones a fin de garantizar la adecuada atención de los usuarios.    
c.   Atender requerimientos e incidencias de telecomunicaciones en coordinación con los analistas de telecomunicaciones.    
d.   Definir las necesidades del equipamiento y servicios de telecomunicaciones a fin de atender adecuadamente a las distintas dependencias del MININTER. 
e.   Gestionar el inventario del equipamiento de telecomunicaciones.         
f.    Brindar apoyo y asesoramiento en la operatividad de las redes de telecomunicaciones del Sector.      
g.   Elaborar informes técnicos en el ámbito de su competencia.    
h.   Otros que designe el Director de la Oficina.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Experiencia:  
•	Experiencia laboral general mínima de seis (06) años.
•	Experiencia laboral especifica mínima de cuatro (04) años desempeñando funciones similares.
  Cursos y/o estudios de especialización: 
•	Especialización o diplomado o curso cuyo total de horas acumuladas sea mínimamente de 120 en:
	Comunicaciones Digitales o Móviles.
	Redes de Computadoras o Networking.

Conocimientos para el puesto:
•	Implementación de redes de Radio Comunicaciones.
•	Gestión de Proyectos de Telecomunicaciones."
1282,Ingeniero de Mantenimiento y Confiabilidad,"Con conocimientos en:
Seguridad de Procesos.
Optimización de inventarios y repuestos críticos.
Diseño, estrategia e implementación.
Conocimiento de operación y/o mantenimiento de compañías de petróleo y energía.
Buen manejo de herramientas informáticas.
Cuidado básico de Equipos.
Técnicas y Gestión de Mantenimiento.
Operación y mantenimientos.
Conocimiento básicos de inglés.
 
EXPERIENCIA:
Cuatro (04) o más años en actividades de Ingeniería y Mantenimiento.
 ","INGENIERÍA DE CONTROL Y AUTOMATIZACIÓN, INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA, INGENIERÍA MECÁNICA","Con experiencia en realizar el análisis jerárquico y de criticidad de los equipos .
Calcular y analizar la disponibilidad y confiabilidad de los equipos.
En empresas de servicio oil and gas."
1283,Ingeniero de generación eléctrica,"Amplia experiencia en diagnóstico y análisis de fallas.
Experiencia en evaluación de rendimiento.
Conocimientos y experiencia en diagnóstico de re utilización de piezas.
Desarrollo y seguimiento de inversiones asignadas al área.
Desarrollo y seguimiento de Proyecto Reemplazo de Reguladores de Velocidad y Tensión- Centrales Hidroeléctricas.
Elaboración de documentos técnicos.
Apoyo en la revisión, actualización y elaboración de planos y ordenamiento del archivo técnico.
Apoyo en la monitorización, análisis y reporte de las tendencias de los KPI de las plantas, en relación con la producción, disponibilidad/confiabilidad de energía, eficiencia/producción perdida y costos operacionales.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA",Experiencia en centrales electricas
1284,Planner de mantenimiento,"Con conocimientos en:
Manejo de CMS.
Indicadores de medio.
Planificación de actividades.
Planificar los trabajos de mantenimiento preventivo, predictivo y correctivo de los equipos y maquinarias.
Gestionar los procesos específicos del área: mantenimiento y planificación.
Administración de presupuesto Capex y Opex.

 EXPERIENCIA:
Cuatro (08) o más años en empresas en el sector industrial de oil and gas en el área de planeamiento y programación
 ","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA, INGENIERÍA MECÁNICA","Experiencia en la planificación de los trabajos de mantenimiento preventivo, predictivo y correctivo de los equipos y maquinarias ."
1285,Ejecutivo Comercial,"Funciones: 1.Prospección y captación de clientes. 2.Presentación de la empresa, sus productos y servicios, fundamentalmente a la minería, su utilización y manejo (se capacitará en el país de origen). 3. Asesorar a los clientes en la aplicación de los productos y servicios vendidos. 4. Resolver consultas técnicas que requieran los clientes. 5. Argumentación y cierre de ventas de los productos y servicios asignados. 6. Concertación de visitas. 7. Elaborar reportes de información comercial de su gestión. 8.Brindar datos de la competencia. 9. Formular estrategias para el logro de ventas.","INGENIERÍA DE MINAS, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA"," Experiencia comercial mínima de 5 años. 
Experiencia específica, en la venta a empresas mineras, de productos similares o afines de 3 años. 
Conocimientos de Office a nivel usuario (intermedio) y de inglés técnico. 
Buena salud física y mental. 
Disponibilidad para viajar permanentemente a centros mineros casi todas las semanas."
1286,PRACTICANTE DE INTELIGENCIA DE PROCESOS,"Inteligencia de Procesos-Creación y/o actualización de manuales de funciones del área.-Control y mantenimiento a las tareas programadas para la generación de reportes.-Control y generación de BackUps de información del área.-Control y mantenimiento a los permisos sobre los directorios de informacion del área.
Gerencia Central de Planificación y Riesgos.-Seguimiento a los tráficos de Voz, Datos y Mensajería.-Seguimiento a las soluciones de reporting.-Consultas y análisis Ad-Hoc a demanda.-Apoyo a los analistas para los diferentes proyectos y análisis.
 
REQUISITOS: 
-Lenguajes de bases de datos relaciones, SQL (PL SQL, TRANSAC-SQL, SQL ANSI).-Lenguaje de programación orientado a objetos (Java, C#, Net, etc).-Software de Explotación de Información (Qlikview deseable no indispensable).-Manejo de tareas programadas Windows.
 
FECHA DE FIN DE CONVOCATORIA: 22/09/2017","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA",
1287,PRACTICANTE DE PRODUCCION,"Brindar soporte a las plantas de producción para el logro de sus objetivos.
Gestión administrativa del área.
Encargado de organizar la agenda del área.
Brindar soporte directo al Gerente de Producción en las diferentes actividades a realizar en el área.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",Experiencia de 6 meses realizando funciones afines al puesto.
1288,Data Scientist,"Analizar y evaluar información relevante de diversas fuentes para alimentar los modelos analíticos. Desarrollar análisis de minería de datos, complementando la aplicación de los Modelos estadísticos. Asegurar la calidad de los modelos desarrollados. Determinar objetivos y aportes del análisis o modelo a desarrollar. Desarrollar e implementar modelos estadísticos. Seleccionar técnica de Data Mining alineada a los objetivos del desarrollo. Elaborar informe y documentación del modelo.","ESTADÍSTICA, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA, MATEMÁTICAS","3 años de experiencia en funciones afines.
Conocimientos en desarrollo de modelos estadísticos.
Manejo de base de datos (Access, SQL, PL/SQL).
Manejo de SW estadísitcos (R, Statistics, Modeler).
Técnicas de Programación."
1289,Especialista de Producto de Accesorios Hidráulicos,"- Responsable de la venta de todos los accesorios hidráulicos accesorios y consumibles.
- Estructurar un plan de visitas a los clientes, plan de identificación y seguimiento de oportunidades de negocios. - Coordinar las visitas a los clientes para presentar los detalles de los productos.
- Brindar asesoría técnica y concretar las negociaciones y cierre de ventas con márgenes adecuados a la política de la empresa. - Administrar la cadena de suministro de  accesorios y consumibles desde la oferta hasta la orden de compra, el seguimiento de la entrega, el recibo y el cumplimiento de la orden.
- Construir y mantener bases de datos de documentación técnica y fuentes para archivos adjuntos, soportes de soporte, tipos.
- Proporcionar apoyo técnico y respaldo a técnicos de pre-entrega encargados de realizar funciones generales de pre-ensamblaje.- Participar en programas de desarrollo de empleados, incluyendo capacitación en productos y aplicaciones, desarrollo empresarial y personal.-Participar  en proyectos especiales asignados por Gerente General o Gerente de Línea de Negocio.
- Comunicar las actividades administrativas y trabajar juntos para hacer crecer nuestro negocio.- Mantener un alto nivel de accesorios hidráulicos, soporte y acompañamiento de accesorios.  conocimiento con capacidad de desarrollar una sólida comprensión de nuestra cultura empresarial.","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Mínimo de 8 años de experiencia laboral. 
Experiencia especifica en el puesto de 3 a 5 años. 
Experiencia trabajando en la industria de equipos pesados.                                                                                                                    Conocimiento sólido de los soportes de los accesorios hidráulicos, accesorios.
Experiencia práctica relacionada en el montaje de equipos multi-componentes."
1290,Asistente de Soporte Técnico,Diagnosticar dispositivos averiados.Reparar los dispositivos de acuerdo a la información brindada en los manuales técnicos.Completar informes sobre los equipos reparados.Mantener información actualizada sobre el stock de repuestos.Implementar circuitos electrónicos de acuerdo a requerimientos y/o necesidades del área.,"INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","Circuitos eléctricos.
Circuitos digitales.
Manejo de instrumentos de medición como multímetro, osciloscopio.
Programación de microcontroladores (PIC, Atmega, Arduino, etc).
Manejo de Microsoft Office."
1291,ANALISTA I DE TELECOMUNICACIONES,"CARACTERÍSTICAS DEL PUESTO:

a.      Administrar el equipamiento de telecomunicaciones a fin de garantizar su correcta operatividad.   
b.      Reparar y configurar el equipamiento de telecomunicaciones a fin de asegurar su adecuado funcionamiento.        
c.      Atender requerimientos e incidencias de telecomunicaciones a fin de asegurar una adecuada atención a los usuarios finales.     
d.      Documentar los servicios de telecomunicaciones a fin de contar con los procedimientos técnicos debidamente actualizados.        
e.      Administrar el inventario del equipamiento de telecomunicaciones.
f.       Administrar el inventario de software de telecomunicaciones.        
g.      Elaborar informes técnicos en el ámbito de su competencia.
h.      Otras funciones relacionadas al ámbito de su competencia le sean asignadas por su superior jerárquico.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Experiencia:
•	Experiencia laboral general mínima de cinco (05) años.
•	Experiencia laboral especifica mínima de tres (03) años en funciones similares al puesto en el sector público.

Cursos:
•	Curso(s) cuyo total de horas acumuladas sea mínimamente de 90 en:
	Circuito cerrado de televisión - CCTV.
	Central Telefónica IP.
	Centro de Datos.
Conocimientos: 
•	Circuito cerrado de televisión - CCTV.
•	Central Telefónica IP."
1292,Asesor Tecnico Comercial - Sector Mineria,"Ejecutar la venta de los equipos de la empresa para clientes del sector minero.
Realizar el seguimiento de las cotizaciones y entregas de los equipos.
Preparar la información necesaria para realizar eficientemente las visitas comerciales (brochures, fichas técnicas, etc).
Viajes a mina segun se requiera.
 ","INGENIERÍA DE MINAS, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Profesionales de las carreras de Ingeniería Industrial, Ingeniería Mecánica y/o afines. 
Alrededor de 04 años de experiencia como asesor técnico comercial o en puestos afines en venta para el sector minero (indispensable).
Conocimientos en el mercado minero de bombas y ventiladores (indispensable).
Conocimiento de equipos industriales.
Office a nivel intermedio-avanzado."
1293,Senior Systems Administrator,"


Instala, configura y mantiene los sistemas y la infraestructura.





Da soporte al equipo en el despliegue y servicios de tecnología.





Implementa y administra soluciones y componentes de software en las aplicaciones empresariales.





Organiza instalaciones y actualizaciones de acuerdo a las políticas de cambio.





Desarrolla y mantiene una configuración de sistema integral que incluye la documentación de soporte correspondiente.





Instala nuevos releases, actualizaciones de sistemas y mejoras.





Evalúa e instala parches y resuelve problemas relacionados a relacionados a las aplicaciones del sistema.





Mantiene los archivos de data y configuración, y monitorea la configuración del sistema para la integridad de la data.





Investiga nuevos productos y tecnologías que ayuden o estén inmersos en las iniciativas de la compañía.





Monitorea y afina los sistemas para lograr niveles óptimos de rendimiento





Dirige auditorías de rutina del sistema.





Sugiere y ayuda a implementar políticas y procedimientos relacionados a almacenamiento de data.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","4-7 años de experiencia trabajando en implementación  de aplicaciones con APache, Nginx, Tomcat, JBoss, IBM WebSphere, etc.
1-3 años de experiencia trabajando con Apache Kafka, Apache Storm, Apache ZooKeeper.
2-3 años trabajando con Pentaho Data Integration.
3-5 años de experiencia como administrador de sistemas (Sys Admin – Linux y/o Windows).
Experiencia manejando requerimientos para un ciclo de vida de desarrollo de software ágil.
Administrador de sistemas de servidores en un entorno VMware, Windows y Linux.
Conocimiento de tecnologías de virtualización como VMware, KVM o Hypervisores similares.
Experiencia integrando productos en un sistema complejo.
Haber trabajado con diversas versiones/plataformas de diseño de almacenamiento y administración (SAN y NAS).
Conocimiento de metodologías de diseño y análisis de sistemas.
Conocimiento de servidores, bases de datos, sistemas de almacenamiento de data, monitoreo, alertas, sincronización y optimización, incluyendo especificaciones y documentación SolarWinds.
Conocer principios y prácticas de seguridad en sistemas.
Soluciones de respaldo de Data Center y metodologías de recuperación de desastres (deseable).
Conocimiento de AWS (deseable)."
1294,Inspector de Calidad,"·         Monitorear el cumplimiento y ejecutar todo lo relacionado, al óptimo control de la calidad de los procesos productivos.
·         Participar en actividades de testeo a componentes en laboratorio de Ensayo y Calibración. Así como, apoyar en la investigación de re procesos de calidad.
·         Documentar y llevar registros de los controles de calidad, realizados a puntos críticos de procesos de: evaluación, armado, testeo, pruebas dinámicas y liberación de componentes.
·         Prevenir defectos de los Componentes, certificando que la entrega del componente reparado  cumple con los Procesos estándares de Fábrica (Normas y Procedimientos).
·         Ejecutar mejoras a procedimientos, check list y toda documentación técnica que lo requiera.
·         Participar en la disminución del nivel de riesgos de lesiones y enfermedades ocupacionales, así como la prevención de la contaminación del medio ambiente en el cual se desarrollan sus actividades.","INGENIERÍA DE MINAS, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","•	 Experiencia en trabajos de mtto preventivo y correctivo de máquinas rotativas eléctricas, pruebas estáticas y dinámicas en motores, procedimiento y diagnostico de pruebas eléctricas, alineamiento de ejes, análisis de falla, uso de instrumentos: Baker, analizador dinámico, estático, vibraciones, cámara termográfica, ensayos NDT
•	 Disponibilidad para rotar en horarios.
•	Nivel de inglés Intermedio."
